title,Token,stopword,stemmed,label
ridwan kamil ceramahi baim wong soal citayam fashion week tidak perlu ikutikutan mengatur,"['ridwan', 'kamil', 'ceramahi', 'baim', 'wong', 'soal', 'citayam', 'fashion', 'week', 'tidak', 'perlu', 'ikutikutan', 'mengatur']","['ridwan', 'kamil', 'ceramahi', 'baim', 'citayam', 'fashion', 'week', 'ikutikutan', 'mengatur']",ridwan kamil ceramah baim citayam fashion week ikutikutan atur,1
link live streaming persis solo vs dewa united pertaruhan kualitas   mantan pelatih timnas indonesia,"['link', 'live', 'streaming', 'persis', 'solo', 'vs', 'dewa', 'united', 'pertaruhan', 'kualitas', 'mantan', 'pelatih', 'timnas', 'indonesia']","['link', 'live', 'streaming', 'persis', 'solo', 'vs', 'dewa', 'united', 'pertaruhan', 'kualitas', 'mantan', 'pelatih', 'timnas', 'indonesia']",link live streaming persis solo vs dewa united taruh kualitas mantan latih timnas indonesia,0
mencekam warga sweeping kendaraan bermotor di yogyakarta plat ad trending topic,"['mencekam', 'warga', 'sweeping', 'kendaraan', 'bermotor', 'di', 'yogyakarta', 'plat', 'ad', 'trending', 'topic']","['mencekam', 'warga', 'sweeping', 'kendaraan', 'bermotor', 'yogyakarta', 'plat', 'ad', 'trending', 'topic']",cekam warga sweeping kendara motor yogyakarta plat ad trending topic,2
ini daftar    jemaah haji yang meninggal hingga hari ke      jemaah gelombang pertama pulang ke tanah air,"['ini', 'daftar', 'jemaah', 'haji', 'yang', 'meninggal', 'hingga', 'hari', 'ke', 'jemaah', 'gelombang', 'pertama', 'pulang', 'ke', 'tanah', 'air']","['daftar', 'jemaah', 'haji', 'meninggal', 'jemaah', 'gelombang', 'pulang', 'tanah', 'air']",daftar jemaah haji tinggal jemaah gelombang pulang tanah air,2
petani masuk kelompok prasejahtera pks minta kader legislatif dan eksekutif ikut berjuang,"['petani', 'masuk', 'kelompok', 'prasejahtera', 'pks', 'minta', 'kader', 'legislatif', 'dan', 'eksekutif', 'ikut', 'berjuang']","['petani', 'masuk', 'kelompok', 'prasejahtera', 'pks', 'kader', 'legislatif', 'eksekutif', 'berjuang']",tani masuk kelompok prasejahtera pks kader legislatif eksekutif juang,1
green kurban salurkan ke       penerima manfaat,"['green', 'kurban', 'salurkan', 'ke', 'penerima', 'manfaat']","['green', 'kurban', 'salurkan', 'penerima', 'manfaat']",green kurban salur terima manfaat,1
bpkad kota cimahi launching aplikasi siaga,"['bpkad', 'kota', 'cimahi', 'launching', 'aplikasi', 'siaga']","['bpkad', 'kota', 'cimahi', 'launching', 'aplikasi', 'siaga']",bpkad kota cimahi launching aplikasi siaga,1
museum subang masih kurang pengunjung,"['museum', 'subang', 'masih', 'kurang', 'pengunjung']","['museum', 'pengunjung']",museum unjung,2
link streaming cinta setelah cinta    juli      tayang sesaat lagi langsung klik di sini,"['link', 'streaming', 'cinta', 'setelah', 'cinta', 'juli', 'tayang', 'sesaat', 'lagi', 'langsung', 'klik', 'di', 'sini']","['link', 'streaming', 'cinta', 'cinta', 'juli', 'tayang', 'langsung', 'klik']",link streaming cinta cinta juli tayang langsung klik,0
perkuat persatuan dan kesatuan kodim     bs laksanakan bimkom cegah konflik sosial,"['perkuat', 'persatuan', 'dan', 'kesatuan', 'kodim', 'bs', 'laksanakan', 'bimkom', 'cegah', 'konflik', 'sosial']","['perkuat', 'persatuan', 'kesatuan', 'kodim', 'bs', 'laksanakan', 'bimkom', 'cegah', 'konflik', 'sosial']",kuat satu satu kodim bs laksana bimkom cegah konflik sosial,1
dahana garap rajata penghancur tanpa ketahui musuh,"['dahana', 'garap', 'rajata', 'penghancur', 'tanpa', 'ketahui', 'musuh']","['dahana', 'garap', 'rajata', 'penghancur', 'ketahui', 'musuh']",dahana garap rajata hancur tahu musuh,0
jelang benfica vs newcastle united the magpies ambisi datangkan timo werner dari chelsea,"['jelang', 'benfica', 'vs', 'newcastle', 'united', 'the', 'magpies', 'ambisi', 'datangkan', 'timo', 'werner', 'dari', 'chelsea']","['jelang', 'benfica', 'vs', 'newcastle', 'united', 'the', 'magpies', 'ambisi', 'datangkan', 'timo', 'werner', 'chelsea']",jelang benfica vs newcastle united the magpies ambisi datang timo werner chelsea,0
frets butuan bawa persib unggul sementara di babak kedua link live streaming bisa diakses di sini,"['frets', 'butuan', 'bawa', 'persib', 'unggul', 'sementara', 'di', 'babak', 'kedua', 'link', 'live', 'streaming', 'bisa', 'diakses', 'di', 'sini']","['frets', 'butuan', 'bawa', 'persib', 'unggul', 'babak', 'link', 'live', 'streaming', 'diakses']",frets butuan bawa persib unggul babak link live streaming akses,0
wakil ketua dprd kota bandung ade supriadi wafat wali kota berduka,"['wakil', 'ketua', 'dprd', 'kota', 'bandung', 'ade', 'supriadi', 'wafat', 'wali', 'kota', 'berduka']","['wakil', 'ketua', 'dprd', 'kota', 'ade', 'supriadi', 'wafat', 'wali', 'kota', 'berduka']",wakil ketua dprd kota ade supriadi wafat wali kota duka,0
link live streaming persikabo vs persebaya surabaya langsung klik di sini,"['link', 'live', 'streaming', 'persikabo', 'vs', 'persebaya', 'surabaya', 'langsung', 'klik', 'di', 'sini']","['link', 'live', 'streaming', 'persikabo', 'vs', 'persebaya', 'surabaya', 'langsung', 'klik']",link live streaming persikabo vs baya surabaya langsung klik,0
persib bandung kebobolan jelang pertandingan kontra bhayangkara fc berakhir wasit jadi sorotan bobotoh,"['persib', 'bandung', 'kebobolan', 'jelang', 'pertandingan', 'kontra', 'bhayangkara', 'fc', 'berakhir', 'wasit', 'jadi', 'sorotan', 'bobotoh']","['persib', 'kebobolan', 'jelang', 'pertandingan', 'kontra', 'bhayangkara', 'fc', 'wasit', 'sorotan', 'bobotoh']",persib bobol jelang tanding kontra bhayangkara fc wasit sorot bobotoh,0
pelatihan guru utama revitalisasi bahasa daerah menjaga kepunahan bahasa daerah dengan menulis,"['pelatihan', 'guru', 'utama', 'revitalisasi', 'bahasa', 'daerah', 'menjaga', 'kepunahan', 'bahasa', 'daerah', 'dengan', 'menulis']","['pelatihan', 'guru', 'utama', 'revitalisasi', 'bahasa', 'daerah', 'menjaga', 'kepunahan', 'bahasa', 'daerah', 'menulis']",latih guru utama revitalisasi bahasa daerah jaga punah bahasa daerah tulis,1
nonton persikabo vs persebaya surabaya langsung klik link live streaming hanya di sini,"['nonton', 'persikabo', 'vs', 'persebaya', 'surabaya', 'langsung', 'klik', 'link', 'live', 'streaming', 'hanya', 'di', 'sini']","['nonton', 'persikabo', 'vs', 'persebaya', 'surabaya', 'langsung', 'klik', 'link', 'live', 'streaming']",nonton persikabo vs baya surabaya langsung klik link live streaming,0
ridwan kamil dinobatkan sebagai ayah inspiratif,"['ridwan', 'kamil', 'dinobatkan', 'sebagai', 'ayah', 'inspiratif']","['ridwan', 'kamil', 'dinobatkan', 'ayah', 'inspiratif']",ridwan kamil nobat ayah inspiratif,1
presiden jokowi tiba di china besok sore temui xi jinping secara tertutup,"['presiden', 'jokowi', 'tiba', 'di', 'china', 'besok', 'sore', 'temui', 'xi', 'jinping', 'secara', 'tertutup']","['presiden', 'jokowi', 'china', 'besok', 'sore', 'temui', 'xi', 'jinping', 'tertutup']",presiden jokowi china besok sore temu xi jinping tutup,0
kpasplaastro gelar pameran tunggal the silence of khotbah,"['kpasplaastro', 'gelar', 'pameran', 'tunggal', 'the', 'silence', 'of', 'khotbah']","['kpasplaastro', 'gelar', 'pameran', 'tunggal', 'the', 'silence', 'of', 'khotbah']",kpasplaastro gelar pamer tunggal the silence of khotbah,0
langsung jatuh cinta pada kosumon moeldoko saya jagonya ngopi ini very special,"['langsung', 'jatuh', 'cinta', 'pada', 'kosumon', 'moeldoko', 'saya', 'jagonya', 'ngopi', 'ini', 'very', 'special']","['langsung', 'jatuh', 'cinta', 'kosumon', 'moeldoko', 'jagonya', 'ngopi', 'very', 'special']",langsung jatuh cinta kosumon moeldoko jago ngopi very special,1
gandeng pemerintah daerah tokopedia dorong implementasi digitalisasi pasar rakyat,"['gandeng', 'pemerintah', 'daerah', 'tokopedia', 'dorong', 'implementasi', 'digitalisasi', 'pasar', 'rakyat']","['gandeng', 'pemerintah', 'daerah', 'tokopedia', 'dorong', 'implementasi', 'digitalisasi', 'pasar', 'rakyat']",gandeng perintah daerah tokopedia dorong implementasi digitalisasi pasar rakyat,1
viral petarung ufc sampaikan hal menyedihkan usai menang tarung temannya bunuh diri jelang tanding,"['viral', 'petarung', 'ufc', 'sampaikan', 'hal', 'menyedihkan', 'usai', 'menang', 'tarung', 'temannya', 'bunuh', 'diri', 'jelang', 'tanding']","['viral', 'petarung', 'ufc', 'menyedihkan', 'menang', 'tarung', 'temannya', 'bunuh', 'jelang', 'tanding']",viral tarung ufc sedih menang tarung teman bunuh jelang tanding,2
viral seorang pria tergeletak di jalanan yogyakarta polda diy cek kemungkinan korban jiwa ke rs,"['viral', 'seorang', 'pria', 'tergeletak', 'di', 'jalanan', 'yogyakarta', 'polda', 'diy', 'cek', 'kemungkinan', 'korban', 'jiwa', 'ke', 'rs']","['viral', 'pria', 'tergeletak', 'jalanan', 'yogyakarta', 'polda', 'diy', 'cek', 'korban', 'jiwa', 'rs']",viral pria geletak jalan yogyakarta polda diy cek korban jiwa rs,2
ade yasin optimis eksepsi diterima hakim dakwaan tak sesuai dengan alasan kpk melakukan penangkapan,"['ade', 'yasin', 'optimis', 'eksepsi', 'diterima', 'hakim', 'dakwaan', 'tak', 'sesuai', 'dengan', 'alasan', 'kpk', 'melakukan', 'penangkapan']","['ade', 'yasin', 'optimis', 'eksepsi', 'diterima', 'hakim', 'dakwaan', 'sesuai', 'alasan', 'kpk', 'penangkapan']",ade yasin optimis eksepsi terima hakim dakwa sesuai alas kpk tangkap,0
empat pelaku spesialis pencurian mobil pick up diringkus polresta bandung,"['empat', 'pelaku', 'spesialis', 'pencurian', 'mobil', 'pick', 'up', 'diringkus', 'polresta', 'bandung']","['pelaku', 'spesialis', 'pencurian', 'mobil', 'pick', 'up', 'diringkus', 'polresta']",laku spesialis curi mobil pick up ringkus polresta,2
waspada siang dan malam hari jabar diguyur hujan prakiraan cuaca wilayah jawa barat senin    juli     ,"['waspada', 'siang', 'dan', 'malam', 'hari', 'jabar', 'diguyur', 'hujan', 'prakiraan', 'cuaca', 'wilayah', 'jawa', 'barat', 'senin', 'juli']","['waspada', 'siang', 'malam', 'jabar', 'diguyur', 'hujan', 'prakiraan', 'cuaca', 'wilayah', 'jawa', 'barat', 'senin', 'juli']",waspada siang malam jabar guyur hujan prakira cuaca wilayah jawa barat senin juli,2
buka latsar cpns sekda jabar tekankan integritas,"['buka', 'latsar', 'cpns', 'sekda', 'jabar', 'tekankan', 'integritas']","['buka', 'latsar', 'cpns', 'sekda', 'jabar', 'tekankan', 'integritas']",buka latsar cpns sekda jabar tekan integritas,0
panglima tni utus dokter forensik tni lakukan autopsi brigadir  kalau mau tambah juga boleh,"['panglima', 'tni', 'utus', 'dokter', 'forensik', 'tni', 'lakukan', 'autopsi', 'brigadir', 'kalau', 'mau', 'tambah', 'juga', 'boleh']","['panglima', 'tni', 'utus', 'dokter', 'forensik', 'tni', 'lakukan', 'autopsi', 'brigadir']",panglima tni utus dokter forensik tni laku autopsi brigadir,0
pad retribusi parkir minim ini yang akan dilakukan bapenda kbb,"['pad', 'retribusi', 'parkir', 'minim', 'ini', 'yang', 'akan', 'dilakukan', 'bapenda', 'kbb']","['pad', 'retribusi', 'parkir', 'minim', 'bapenda', 'kbb']",pad retribusi parkir minim bapenda kbb,0
pesan menohok ridwan kamil ke baim wong soal citayam fashion week anda dan istri sudah hebat tapi,"['pesan', 'menohok', 'ridwan', 'kamil', 'ke', 'baim', 'wong', 'soal', 'citayam', 'fashion', 'week', 'anda', 'dan', 'istri', 'sudah', 'hebat', 'tapi']","['pesan', 'menohok', 'ridwan', 'kamil', 'baim', 'citayam', 'fashion', 'week', 'istri', 'hebat']",pesan tohok ridwan kamil baim citayam fashion week istri hebat,2
berusaha pulihkan cedera febri hariyadi disemangati mario jardel semangat bang bow,"['berusaha', 'pulihkan', 'cedera', 'febri', 'hariyadi', 'disemangati', 'mario', 'jardel', 'semangat', 'bang', 'bow']","['berusaha', 'pulihkan', 'cedera', 'febri', 'hariyadi', 'disemangati', 'mario', 'jardel', 'semangat', 'bang', 'bow']",usaha pulih cedera febri hariyadi semangat mario jardel semangat bang bow,1
pemilik tim football menangkan lelang sabuk juara tinju muhammad ali ini harganya,"['pemilik', 'tim', 'football', 'menangkan', 'lelang', 'sabuk', 'juara', 'tinju', 'muhammad', 'ali', 'ini', 'harganya']","['pemilik', 'tim', 'football', 'menangkan', 'lelang', 'sabuk', 'juara', 'tinju', 'muhammad', 'ali', 'harganya']",milik tim football menang lelang sabuk juara tinju muhammad ali harga,1
tersangka kasus subang bertambah jadi    orang perannya diungkap polda jabar,"['tersangka', 'kasus', 'subang', 'bertambah', 'jadi', 'orang', 'perannya', 'diungkap', 'polda', 'jabar']","['tersangka', 'bertambah', 'orang', 'perannya', 'diungkap', 'polda', 'jabar']",sangka tambah orang peran ungkap polda jabar,2
kasus anak tewas akibat perundungan di tasikmalaya   orang jadi tersangka,"['kasus', 'anak', 'tewas', 'akibat', 'perundungan', 'di', 'tasikmalaya', 'orang', 'jadi', 'tersangka']","['anak', 'tewas', 'akibat', 'perundungan', 'tasikmalaya', 'orang', 'tersangka']",anak tewas akibat rundung tasikmalaya orang sangka,2
cinta setelah cinta    juli      tayang di sctv pukul      simak sinopsis berikut link streaming,"['cinta', 'setelah', 'cinta', 'juli', 'tayang', 'di', 'sctv', 'pukul', 'simak', 'sinopsis', 'berikut', 'link', 'streaming']","['cinta', 'cinta', 'juli', 'tayang', 'sctv', 'simak', 'sinopsis', 'link', 'streaming']",cinta cinta juli tayang sctv simak sinopsis link streaming,0
ada       kasus cacar monyet di    negara who minta kawasan asia tenggara perkuat pengawasan,"['ada', 'kasus', 'cacar', 'monyet', 'di', 'negara', 'who', 'minta', 'kawasan', 'asia', 'tenggara', 'perkuat', 'pengawasan']","['cacar', 'monyet', 'negara', 'who', 'kawasan', 'asia', 'tenggara', 'perkuat', 'pengawasan']",cacar monyet negara who kawasan asia tenggara kuat awas,2
inilah yang harus hindari warga binaan lapas sumedang,"['inilah', 'yang', 'harus', 'hindari', 'warga', 'binaan', 'lapas', 'sumedang']","['hindari', 'warga', 'binaan', 'lapas', 'sumedang']",hindar warga bina lapas sumedang,2
cfw didaftarkan paten ini komentar sandiaga uno anakanak scbd jangan ada yang terzalimi harus transparan,"['cfw', 'didaftarkan', 'paten', 'ini', 'komentar', 'sandiaga', 'uno', 'anakanak', 'scbd', 'jangan', 'ada', 'yang', 'terzalimi', 'harus', 'transparan']","['cfw', 'didaftarkan', 'paten', 'komentar', 'sandiaga', 'uno', 'anakanak', 'scbd', 'terzalimi', 'transparan']",cfw daftar paten komentar sandiaga uno anakanak scbd zalim transparan,1
ceu popong dan salim segaf dorong kolaborasi untuk selesaikan masalah kebangsaan,"['ceu', 'popong', 'dan', 'salim', 'segaf', 'dorong', 'kolaborasi', 'untuk', 'selesaikan', 'masalah', 'kebangsaan']","['ceu', 'popong', 'salim', 'segaf', 'dorong', 'kolaborasi', 'selesaikan', 'kebangsaan']",ceu popong salim segaf dorong kolaborasi selesai bangsa,1
link streaming cinta setelah cinta    juli      starla pergoki niko dan ayu rencana ben bakal lancar,"['link', 'streaming', 'cinta', 'setelah', 'cinta', 'juli', 'starla', 'pergoki', 'niko', 'dan', 'ayu', 'rencana', 'ben', 'bakal', 'lancar']","['link', 'streaming', 'cinta', 'cinta', 'juli', 'starla', 'pergoki', 'niko', 'ayu', 'rencana', 'ben', 'lancar']",link streaming cinta cinta juli starla pergok niko ayu rencana ben lancar,0
waspada sejumlah kota besar diguyur hujan prakirakan cuaca hari ini selasa    juli     ,"['waspada', 'sejumlah', 'kota', 'besar', 'diguyur', 'hujan', 'prakirakan', 'cuaca', 'hari', 'ini', 'selasa', 'juli']","['waspada', 'kota', 'diguyur', 'hujan', 'prakirakan', 'cuaca', 'selasa', 'juli']",waspada kota guyur hujan prakira cuaca selasa juli,0
populasi yaki di sulteng turun drastis tinggal menyisakan      ekor,"['populasi', 'yaki', 'di', 'sulteng', 'turun', 'drastis', 'tinggal', 'menyisakan', 'ekor']","['populasi', 'yaki', 'sulteng', 'turun', 'drastis', 'tinggal', 'menyisakan', 'ekor']",populasi yaki sulteng turun drastis tinggal sisa ekor,2
psis semarang rekrut pelatih kiper asal inggris rory grand,"['psis', 'semarang', 'rekrut', 'pelatih', 'kiper', 'asal', 'inggris', 'rory', 'grand']","['psis', 'semarang', 'rekrut', 'pelatih', 'kiper', 'inggris', 'rory', 'grand']",psis semarang rekrut latih kiper inggris rory grand,1
covid   di kbb sempat menembus     kasus warga mulai bergairah vaksin booster,"['covid', 'di', 'kbb', 'sempat', 'menembus', 'kasus', 'warga', 'mulai', 'bergairah', 'vaksin', 'booster']","['covid', 'kbb', 'menembus', 'warga', 'bergairah', 'vaksin', 'booster']",covid kbb tembus warga gairah vaksin booster,0
bareskrim polri tetapkan   tersangka kasus act,"['bareskrim', 'polri', 'tetapkan', 'tersangka', 'kasus', 'act']","['bareskrim', 'polri', 'tetapkan', 'tersangka', 'act']",bareskrim polri tetap sangka act,2
cinta setelah cinta    juli      niko ngamuk kepada ayu arya dan ben berebut perhatian starla,"['cinta', 'setelah', 'cinta', 'juli', 'niko', 'ngamuk', 'kepada', 'ayu', 'arya', 'dan', 'ben', 'berebut', 'perhatian', 'starla']","['cinta', 'cinta', 'juli', 'niko', 'ngamuk', 'ayu', 'arya', 'ben', 'berebut', 'perhatian', 'starla']",cinta cinta juli niko ngamuk ayu arya ben rebut perhati starla,0
prakiraan cuaca di kotakota besar di indonesia bandung hujan ringan,"['prakiraan', 'cuaca', 'di', 'kotakota', 'besar', 'di', 'indonesia', 'bandung', 'hujan', 'ringan']","['prakiraan', 'cuaca', 'kotakota', 'indonesia', 'hujan', 'ringan']",prakira cuaca kotakota indonesia hujan ringan,0
persis solo menyerah    dari dewa united di liga  ,"['persis', 'solo', 'menyerah', 'dari', 'dewa', 'united', 'di', 'liga']","['persis', 'solo', 'menyerah', 'dewa', 'united', 'liga']",persis solo serah dewa united liga,2
ucapkan good bye pada pertalite dan solar bagi pemilik mobil dengan kapasitas      cc ke atas,"['ucapkan', 'good', 'bye', 'pada', 'pertalite', 'dan', 'solar', 'bagi', 'pemilik', 'mobil', 'dengan', 'kapasitas', 'cc', 'ke', 'atas']","['ucapkan', 'good', 'bye', 'pertalite', 'solar', 'pemilik', 'mobil', 'kapasitas', 'cc']",ucap good bye pertalite solar milik mobil kapasitas cc,2
bantu renovasi rumah warga yang hampir roboh ridwan kamil tugas pemimpin memudahkan urusan rakyat,"['bantu', 'renovasi', 'rumah', 'warga', 'yang', 'hampir', 'roboh', 'ridwan', 'kamil', 'tugas', 'pemimpin', 'memudahkan', 'urusan', 'rakyat']","['bantu', 'renovasi', 'rumah', 'warga', 'roboh', 'ridwan', 'kamil', 'tugas', 'pemimpin', 'memudahkan', 'urusan', 'rakyat']",bantu renovasi rumah warga roboh ridwan kamil tugas pimpin mudah urus rakyat,1
persita siap ladeni persik kediri vera butuh start yang bagus,"['persita', 'siap', 'ladeni', 'persik', 'kediri', 'vera', 'butuh', 'start', 'yang', 'bagus']","['persita', 'ladeni', 'persik', 'kediri', 'vera', 'butuh', 'start', 'bagus']",sita laden persik diri vera butuh start bagus,1
identitas    tersangka kasus subang diungkap polisi ada yang berperan sebagai pemodal,"['identitas', 'tersangka', 'kasus', 'subang', 'diungkap', 'polisi', 'ada', 'yang', 'berperan', 'sebagai', 'pemodal']","['identitas', 'tersangka', 'diungkap', 'polisi', 'berperan', 'pemodal']",identitas sangka ungkap polisi peran modal,2
kita punya seribu alasan untuk bahagia dengan melepas beban emosi,"['kita', 'punya', 'seribu', 'alasan', 'untuk', 'bahagia', 'dengan', 'melepas', 'beban', 'emosi']","['seribu', 'alasan', 'bahagia', 'melepas', 'beban', 'emosi']",ribu alas bahagia lepas beban emosi,1
tol cipali kembali memakan korban jiwa   tewas akibat tabrakan,"['tol', 'cipali', 'kembali', 'memakan', 'korban', 'jiwa', 'tewas', 'akibat', 'tabrakan']","['tol', 'cipali', 'memakan', 'korban', 'jiwa', 'tewas', 'akibat', 'tabrakan']",tol cipali makan korban jiwa tewas akibat tabrak,2
kunker ke babel kepala bpip yudian wahyudi ajak santri dan dosen jaga dan perkokoh pancasila,"['kunker', 'ke', 'babel', 'kepala', 'bpip', 'yudian', 'wahyudi', 'ajak', 'santri', 'dan', 'dosen', 'jaga', 'dan', 'perkokoh', 'pancasila']","['kunker', 'babel', 'kepala', 'bpip', 'yudian', 'wahyudi', 'ajak', 'santri', 'dosen', 'jaga', 'perkokoh', 'pancasila']",kunker babel kepala bpip yudian wahyudi ajak santri dosen jaga kokoh pancasila,1
demi menambah daya juang   pemain persija sampai ganti nomor punggung,"['demi', 'menambah', 'daya', 'juang', 'pemain', 'persija', 'sampai', 'ganti', 'nomor', 'punggung']","['menambah', 'daya', 'juang', 'pemain', 'persija', 'ganti', 'nomor', 'punggung']",tambah daya juang main persija ganti nomor punggung,1
innalillahi wainailaihi rojiun wakil ketua dprd kota bandung ade supriadi meninggal dunia,"['innalillahi', 'wainailaihi', 'rojiun', 'wakil', 'ketua', 'dprd', 'kota', 'bandung', 'ade', 'supriadi', 'meninggal', 'dunia']","['innalillahi', 'wainailaihi', 'rojiun', 'wakil', 'ketua', 'dprd', 'kota', 'ade', 'supriadi', 'meninggal', 'dunia']",innalillahi wainailaihi rojiun wakil ketua dprd kota ade supriadi tinggal dunia,2
